t_opti,x_opti,y_opti,z_opti,qx_opti,qy_opti,qz_opti,qw_opti
1.608333,0.143637,-0.796522,-0.143466,-0.329813,0.105182,0.003274,-0.938163
1.616667,0.143675,-0.796876,-0.144533,-0.332586,0.104812,0.003275,-0.937225
1.625,0.143748,-0.79725,-0.145602,-0.335472,0.104531,0.00359,-0.936226
1.633333,0.1438,-0.797589,-0.146639,-0.338294,0.10446,0.003511,-0.935218
1.641667,0.143852,-0.797938,-0.147719,-0.341173,0.104203,0.003884,-0.934199
1.65,0.143943,-0.798273,-0.148754,-0.343729,0.10428,0.004214,-0.933252
1.658333,0.144005,-0.798571,-0.149822,-0.346467,0.103957,0.00422,-0.932275
1.666667,0.144086,-0.798855,-0.150886,-0.349298,0.103709,0.004312,-0.931245
1.675,0.144165,-0.799175,-0.151949,-0.35201,0.103732,0.004746,-0.930218
1.683333,0.144224,-0.799464,-0.153035,-0.354688,0.103422,0.004639,-0.929236
1.691667,0.144312,-0.799733,-0.15411,-0.357589,0.103339,0.004759,-0.928132
1.7,0.1444,-0.800023,-0.155175,-0.360457,0.103418,0.005109,-0.927011
1.708333,0.144447,-0.80028,-0.156246,-0.363155,0.10307,0.005261,-0.925995
1.716667,0.144506,-0.800547,-0.157296,-0.365551,0.10289,0.005654,-0.92507
1.725,0.144553,-0.80081,-0.158355,-0.368241,0.102878,0.005929,-0.924002
1.733333,0.14461,-0.801073,-0.159418,-0.370886,0.102777,0.006128,-0.922953
1.741667,0.14467,-0.801344,-0.160485,-0.373668,0.102548,0.006641,-0.921853
1.75,0.144726,-0.801538,-0.16152,-0.375915,0.102503,0.006722,-0.920943
1.758333,0.144791,-0.801793,-0.162573,-0.378821,0.102285,0.006982,-0.919774
1.766667,0.144815,-0.802017,-0.16364,-0.381328,0.102022,0.007351,-0.918764
1.775,0.144761,-0.802015,-0.164613,-0.385489,0.10113,0.005064,-0.91714
1.783333,0.144931,-0.802376,-0.165711,-0.386267,0.102027,0.007569,-0.916696
1.791667,0.144996,-0.802571,-0.166771,-0.388812,0.10172,0.007573,-0.915653
